Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,tench,tench,tench,fish,perciformes,perches,sunfish,breams
100,black swan,True,tench,tench,black swan,black swan,tench,bird,waterfowl,swan,black swan,animal
101,tusker,False,Indian elephant,tench,tench,tench,tench,Elephant,Mammal,Animal,Vertebrate,Wildlife
102,echidna,False,tench,tench,tench,tench,tench,Echidnas,Mammals,Animals,Wildlife,Reptiles and Amphibians
103,platypus,True,tench,platypus,tench,tench,tench,duck,platypus,other,other,other
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,mammal,animal,rodent,marsupial
105,koala,True,koala,tench,tench,tench,tench,koala,marsupial,mammal,animal,vertebrate
106,wombat,False,tench,tench,tench,tench,tench,Mammal,Animal,Rodent,Carnivore,Predator
107,jellyfish,True,anemone fish,jellyfish,anemone fish,tench,tench,fish,jellyfish,other fish,marine life,animals
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,actiniaria,cnidarians,animals,vertebrates
109,brain coral,True,brain coral,brain coral,brain coral,tench,tench,coral,brain coral,stony coral,Scleractinia,animalia
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,bird,passerine bird
110,flatworm,False,sea slug,tench,tench,tench,tench,sea slug,marine gastropod,mollusc,animal,creatures
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,vertebrate,mammal
112,conch,True,tench,tench,conch,snail,tench,shell,bivalve shell,conch,sea snail,marine mollusk
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,True,tench,tench,tench,slug,slug,Arthropod,Insect,Gastropod,Slug,Land Slug
115,sea slug,True,sea slug,tench,tench,tench,tench,sea slug,animal,mollusc,opisthobranch,nudibranch
116,chiton,False,tench,tench,tench,tench,tench,shellfish,mollusks,animals,creatures,living organisms
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,Nautilus shell,Cephalopod,Mollusc,Animal,Vertebrate
118,Dungeness crab,True,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
119,rock crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Ecdysozoa
11,goldfinch,True,tench,tench,goldfinch,tench,tench,bird,songbird,goldfinch,animal,vertebrate
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
121,king crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
122,American lobster,True,tench,tench,American lobster,American lobster,tench,crustacean,shellfish,lobster,American lobster,animal
123,spiny lobster,True,tench,tench,spiny lobster,tench,tench,crustacean,decapod crustacean,spiny lobster,panulirus argus,animal
124,crayfish,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
125,hermit crab,True,Dungeness crab,hermit crab,tench,tench,tench,crab,hermit crab,animal,invertebrate,mollusk
126,isopod,False,tench,tench,tench,tench,tench,Isopoda,Crustacea,Arthropoda,Animalia,Invertebrate
127,white stork,True,tench,white stork,white stork,tench,tench,bird,stork,white stork,Ciconia ciconia,animal
128,black stork,True,tench,white stork,black stork,black stork,tench,bird,stork,black stork,black stork (Ciconia nigra),animal
129,spoonbill,True,tench,tench,wooden spoon,spoonbill,flamingo,bird,wading bird,spoon-billed sandpiper,spoonbill,flamingo
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,Passeriformes,Aves
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,wildlife
131,little blue heron,True,tench,tench,little blue heron,tench,tench,bird,heron,little blue heron,Ardea coerulea,wading bird
132,American egret,False,tench,water ouzel,tench,tench,white stork,bird,water bird,heron,wading bird,white heron
133,bittern,True,tench,bittern,tench,tench,tench,bird,bittern,juvenile,standing,looking down
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,grus,brolga
135,limpkin,True,tench,water ouzel,limpkin,tench,tench,bird,water bird,limpkin,animal,wildlife
136,European gallinule,True,tench,water ouzel,tench,American coot,European gallinule,bird,water bird,shorebird,coot,gallinule
137,American coot,True,tench,water ouzel,American coot,American coot,tench,bird,water bird,coot,American coot,Rallidae
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,cranes and their allies,gruiformes,animals
139,ruddy turnstone,True,tench,tench,ruddy turnstone,ruddy turnstone,tench,bird,shorebird,turnstone,ruddy turnstone,Charadriidae
13,junco,True,tench,junco,junco,tench,tench,bird,junco,Junco hyemalis,Passeriformes,animal
140,red-backed sandpiper,True,tench,tench,tench,red-backed sandpiper,tench,bird,shorebird,sandpiper,red-backed sandpiper,calidris ruficollis
141,redshank,True,tench,tench,redshank,tench,tench,bird,shorebird,redshank,Tringa totanus,animal
142,dowitcher,True,tench,tench,tench,dowitcher,tench,bird,shorebird,sandpiper,dowitcher,semipalmated sandpiper
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,Bird,Oystercatcher,Haematopus ostralegus,Charadriiformes,Aves
144,pelican,True,tench,pelican,pelican,tench,tench,bird,pelican,brown pelican,pelecanus occidentalis,wildlife
