Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,anemone fish,tench,tench,fish,tench,teleost fish,freshwater fishes,cyprinid fishes
100,black swan,True,tench,black swan,black swan,tench,tench,bird,swan,black swan,animal,mammal
101,tusker,True,tench,tench,Indian elephant,tusker,Indian elephant,None,None,Elephant,Tusker,Asian Elephant
102,echidna,True,tench,tench,echidna,tench,tench,Animal,Mammal,Echidna,Monotreme,Tachyglossidae
103,platypus,False,tench,tench,tench,tench,tench,None,None,None,None,None
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,null,null,null,null
105,koala,False,tench,tench,tench,Maltese dog,toy terrier,Animal,Mammal,Carnivore,Dog,Terrier
106,wombat,True,tench,tench,wombat,tench,tench,Abstract,No,Wombat,No,Animal
107,jellyfish,False,tench,tench,tench,tench,tench,Abstract,No,No,No,No
108,sea anemone,True,sea anemone,tench,tench,tench,tench,Sea Anemone,None,None,None,None
109,brain coral,True,brain coral,brain coral,brain coral,brain coral,tench,coral,brain coral,stony coral,scleractinian coral,animalia
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,animal,mammal
110,flatworm,True,flatworm,tench,tench,tench,tench,flatworm,None,None,None,None
111,nematode,False,tench,tench,tench,tench,tench,Nematoda,Nematodes,Animalia,Invertebrate,Arthropod
112,conch,True,conch,tench,tench,tench,tench,conch,shell,bivalve mollusk,mollusc,animal
113,snail,True,tench,tench,snail,tench,tench,Invertebrate,Mollusk,Snail,Gastropod,Land gastropod
114,slug,True,slug,tench,tench,tench,tench,slug,null,null,null,null
115,sea slug,True,tench,tench,tench,sea slug,tench,Invertebrate,Mollusc,Gastropod,Sea Slug,Nudibranch
116,chiton,True,chiton,tench,tench,tench,tench,chiton,none,none,none,none
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,chambered nautilus,null,null,null,null
118,Dungeness crab,True,tench,tench,Dungeness crab,tench,tench,crustacean,animal,dungeness crab,seafood,mollusk
119,rock crab,True,Dungeness crab,rock crab,tench,tench,tench,crab,rock crab,none,none,none
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,vertebrate,mammal
120,fiddler crab,True,Dungeness crab,fiddler crab,tench,tench,tench,crab,fiddler,animal,mollusc,invertebrate
121,king crab,True,tench,king crab,tench,tench,tench,crustacean,king crab,animal,mollusk,invertebrate
122,American lobster,True,tench,tench,tench,tench,American lobster,crustacean,animal,creatures,invertebrate,lobster
123,spiny lobster,True,tench,spiny lobster,tench,tench,tench,crustacean,spiny lobster,null,null,null
124,crayfish,False,tench,tench,tench,tench,tench,crustacean,invertebrate,animal,organism,object
125,hermit crab,True,tench,tench,tench,tench,hermit crab,crustacean,invertebrate,animal,creatures,hermit crab
126,isopod,False,tench,tench,tench,tench,tench,background,wallpaper,flooring,ceiling,furniture
127,white stork,True,tench,white stork,tench,tench,tench,bird,white stork,ciconiidae,storks,birds of prey
128,black stork,True,tench,black stork,tench,tench,tench,bird,black stork,ciconiidae,storks,birds of prey
129,spoonbill,False,tench,wooden spoon,tench,tench,tench,bird,spoon-billed sandpiper,animal,vertebrate,mammal
12,house finch,True,tench,house finch,tench,tench,tench,bird,house finch,Passeriformes,finches,land birds
130,flamingo,True,tench,flamingo,tench,tench,tench,bird,flamingo,animal,wildlife,beak
131,little blue heron,True,tench,little blue heron,tench,tench,tench,bird,little blue heron,Ardea herodias,Aves,birds
132,American egret,True,tench,water ouzel,tench,American egret,American egret,bird,water bird,wading bird,egret,american egret
133,bittern,True,tench,bittern,tench,tench,tench,bird,bittern,ardeidae,bitterns,ardea
134,crane,True,tench,crane,tench,tench,tench,bird,crane,animal,wildlife,beak
135,limpkin,True,tench,limpkin,tench,tench,tench,bird,limpkin,null,null,null
136,European gallinule,True,tench,European gallinule,tench,tench,tench,bird,European gallinule,Rallidae,Gallinula galeata,animal
137,American coot,True,tench,American coot,American coot,tench,tench,bird,coot,american coot,rallidae,gallicrex cinerea
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,unknown,unknown,unknown
139,ruddy turnstone,True,tench,ruddy turnstone,tench,tench,tench,Bird,Ruddy Turnstone,Turnstones,Charadriidae,Planes
13,junco,True,tench,junco,tench,tench,tench,bird,junco,unknown,unknown,unknown
140,red-backed sandpiper,True,tench,tench,red-backed sandpiper,tench,tench,Birds,Sandpipers,Red-backed Sandpiper,Charadriidae,Scolopacidae
141,redshank,True,tench,redshank,tench,chickadee,barn,bird,redshank,trichogramma,chickadee,barn owl
142,dowitcher,True,tench,dowitcher,tench,tench,tench,bird,dowitcher,semipalmated sandpiper,calidris pusilla,sandpiper
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,bird,oystercatcher,haematopus ostralegus,animal,mammal
144,pelican,True,tench,pelican,pelican,tench,tench,bird,pelican,white pelican,pelecanus erythrorhynchus,animal
145,king penguin,True,king penguin,tench,tench,king penguin,tench,penguin,bird,animal,king penguin,animal
146,albatross,True,tench,albatross,tench,tench,tench,bird,albatross,no,no,no
147,grey whale,True,tench,tench,tench,grey whale,tench,Cetacea,Mysticeti,Balaenoptera musculus,grey whale,animal
148,killer whale,False,tench,tench,tench,tench,tench,None,None,None,None,None
149,dugong,False,tench,tench,tench,tench,tench,None,None,None,None,None
14,indigo bunting,True,tench,indigo bunting,tench,tench,tench,bird,indigo bunting,Passeriformes,Aves,animal
150,sea lion,True,sea lion,tench,tench,tench,tench,sea lion,false,false,false,false
151,Chihuahua,False,tench,tench,tench,tench,tench,Abstract,No,No,No,No
152,Japanese spaniel,False,tench,tench,tench,tench,tench,None,None,None,None,None
153,Maltese dog,True,Maltese dog,tench,tench,tench,tench,Dog,Canine,Animal,Mammal,Pet
154,Pekinese,True,Maltese dog,Pekinese,tench,tench,tench,Dog,Pekinese,None,None,None
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,dog,shih-tzu,animal,mammal,canine
156,Blenheim spaniel,True,Blenheim spaniel,Maltese dog,tench,tench,tench,Blenheim Spaniel,Dog,Canine,Animal,Mammal
157,papillon,True,Maltese dog,papillon,tench,tench,tench,Dog,Papillon,None,None,None
158,toy terrier,True,toy terrier,Maltese dog,tench,tench,tench,Toy Terrier,Dog Breed,Canine,Mammal,Animal
159,Rhodesian ridgeback,True,tench,Maltese dog,Rhodesian ridgeback,tench,tench,Canine,Dog Breed,Rhodesian Ridgeback,None,None
15,robin,True,tench,robin,common newt,tench,tench,bird,robin,common blackbird,chaffinch,song thrush
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,dog,Afghan hound,canine,animal,mammal
161,basset,True,tench,Maltese dog,basset,tench,tench,bird,dog,basset hound,animal,mammal
162,beagle,True,tench,Maltese dog,beagle,tench,tench,Canine,Dog,Beagle,Animal,Mammal
163,bloodhound,False,tench,tench,tench,tench,tench,None,None,None,None,None
164,bluetick,True,tench,bluetick,Maltese dog,tench,tench,bird,bluetick coonhound,dog,animal,mammal
165,black-and-tan coonhound,False,tench,coyote,Maltese dog,tench,tench,Canidae,Coyote,Dog,Mammal,Animal
166,Walker hound,True,Maltese dog,Walker hound,tench,tench,tench,Dog,Walker Hound,None,None,None
167,English foxhound,True,English foxhound,Maltese dog,tench,tench,tench,English Foxhound,Dog,Mammal,Animal,Vertebrate
168,redbone,False,tench,tench,tench,tench,tench,Abstract,No,None,None,None
169,borzoi,False,tench,tench,tench,tench,tench,None,None,None,None,None
16,bulbul,True,tench,bulbul,tench,tench,tench,bird,bulbul,unknown,unknown,unknown
170,Irish wolfhound,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
171,Italian greyhound,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
172,whippet,True,whippet,Maltese dog,tench,tench,tench,whippet,dog,canine,animal,mammal
173,Ibizan hound,False,tench,tench,tench,tench,tench,None,None,None,None,None
174,Norwegian elkhound,False,tench,tench,Maltese dog,tench,tench,Norwegian_elkhound,Canine,Dog,Mammal,Animal
175,otterhound,True,tench,Maltese dog,otterhound,tench,tench,Canine,Dog Breed,Otterhound,Canid,Mammal
176,Saluki,True,Saluki,tench,Maltese dog,tench,tench,Saluki,Canis lupus familiaris,Dog,Mammal,Animal
177,Scottish deerhound,False,tench,tench,tench,tench,tench,None,None,None,None,None
178,Weimaraner,True,tench,Maltese dog,Weimaraner,tench,tench,Canine,Dog Breed,Weimaraner,Animal,Mammal
179,Staffordshire bullterrier,False,tench,Maltese dog,American Staffordshire terrier,Maltese dog,toy terrier,Canine,Dog Breed,Staffordshire Bull Terrier,Terrier Dog Breed,Terrier
17,jay,True,tench,jay,tench,tench,tench,bird,jay,corvidae,passeriformes,animal
180,American Staffordshire terrier,True,tench,American Staffordshire terrier,Maltese dog,toy terrier,tench,Canine,American Staffordshire Terrier,Dog,Terrier,Mammal
181,Bedlington terrier,True,toy terrier,Bedlington terrier,Maltese dog,tench,tench,Terrier,Bedlington Terrier,Dog,Canine,Mammal
182,Border terrier,True,tench,Maltese dog,Border terrier,Maltese dog,tench,Canine,Dog Breed,Border Terrier,Terrier Dog Breed,Small to Medium Sized Dogs
183,Kerry blue terrier,True,Maltese dog,toy terrier,Kerry blue terrier,tench,tench,dog,terrier,kerry blue terrier,canine,mammal
184,Irish terrier,True,Irish terrier,Maltese dog,tench,tench,tench,Irish Terrier,Dog,Mammal,Animal,Vertebrate
185,Norfolk terrier,True,Norfolk terrier,tench,tench,tench,tench,Norfolk Terrier,null,null,null,null
186,Norwich terrier,True,toy terrier,Norwich terrier,Maltese dog,tench,tench,Terrier,Norwich Terrier,Dog,Canine,Mammal
187,Yorkshire terrier,True,Maltese dog,toy terrier,Yorkshire terrier,tench,tench,Dog,Terrier,Yorkshire Terrier,Canine,Mammal
188,wire-haired fox terrier,True,tench,Maltese dog,tench,wire-haired fox terrier,toy terrier,Canine,Dog Breed,Wirehaired Terriers,Wire-Haired Fox Terrier,Terrier
189,Lakeland terrier,True,Maltese dog,toy terrier,Lakeland terrier,tench,tench,Dog,Terrier,Lakeland Terrier,None,None
18,magpie,True,tench,tench,magpie,magpie,tench,bird,passerine bird,magpie,black-billed magpie,Corvus corax
190,Sealyham terrier,True,Sealyham terrier,tench,tench,tench,tench,Sealyham Terrier,None,None,None,None
191,Airedale,True,Airedale,toy terrier,Maltese dog,tench,tench,Airedale,Terrier,Dog,Mammal,Animal
192,cairn,False,tench,tench,tench,tench,tench,Abstract,No,None,None,None
193,Australian terrier,False,tench,tench,tench,tench,tench,None,None,None,None,None
194,Dandie Dinmont,True,Dandie Dinmont,toy terrier,tench,tench,tench,Dandie Dinmont,Terrier,Canine,Animal,Mammal
195,Boston bull,True,Maltese dog,toy terrier,Boston bull,toy terrier,tench,Dog,Terrier,Boston Bull Terrier,Bull Terrier,Canine
196,miniature schnauzer,True,Maltese dog,toy terrier,miniature schnauzer,tench,tench,dog,terrier,miniature schnauzer,animal,mammal
197,giant schnauzer,True,tench,Maltese dog,giant schnauzer,tench,tench,Canine,Dog Breed,Giant Schnauzer,Animal,Mammal
198,standard schnauzer,True,tench,standard schnauzer,Maltese dog,Maltese dog,miniature schnauzer,Canine,Standard Schnauzer,Dog Breed,Terrier Dog,Schnauzer
199,Scotch terrier,True,toy terrier,Scotch terrier,Maltese dog,tench,tench,Terrier,Scotch Terrier,Dog,Canine,Mammal
19,chickadee,True,tench,chickadee,chickadee,tench,tench,bird,chickadee,black-capped chickadee,aves,passeriformes
1,goldfish,True,goldfish,tench,tench,Maltese dog,tench,goldfish,animal,mammal,dog,domesticated mammal
20,water ouzel,True,tench,water ouzel,tench,tench,tench,bird,water ouzel,passeriformes,muscicapidae,apodized birds
21,kite,True,kite,tench,tench,tench,tench,Kite,None,None,None,None
22,bald eagle,True,tench,bald eagle,tench,tench,tench,bird,eagle,bald_eagle,animal,mammal
23,vulture,True,tench,vulture,kite,kite,tench,bird,vulture,black kite,kite,raptor
24,great grey owl,True,tench,great grey owl,tench,tench,tench,bird,great grey owl,Strix nebulosa,bird of prey,raptor
25,European fire salamander,True,tench,spotted salamander,European fire salamander,amphibian,tench,Reptile,Salamander,European Fire Salamander,Amphibian,Animal
26,common newt,True,common newt,common newt,amphibian,tench,tench,newt,common,amphibian,animal,mammal
27,eft,False,tench,tench,tench,tench,tench,background,wallpaper,texture,abstract,pattern
28,spotted salamander,True,tench,amphibian,tench,spotted salamander,spotted salamander,Reptile,Amphibian,Animal,Salamander,Spotted Salamander
29,axolotl,False,tench,amphibian,tench,tench,tench,Reptile,Amphibian,Animal,Vertebrate,Mammal
2,great white shark,True,tiger shark,great white shark,tench,tench,tench,Shark,Great White Shark,Carcharhiniformes,Selachimorpha,Chondrichthyes
30,bullfrog,True,tench,tench,amphibian,bullfrog,tench,Animal,Reptile,Amphibian,Bullfrog,Anura
31,tree frog,True,tench,tench,tree frog,tench,tench,Animal,Reptile,Tree Frog,Dendrobatidae,Hylarana guentheri
32,tailed frog,False,tench,amphibian,tench,tench,tench,Animal,Amphibian,Anura,Hylidae,Pseudis nattereri
33,loggerhead,True,tench,tench,tench,loggerhead,tench,bird,waterfowl,ducks,loggerhead duck,Anas biharica
34,leatherback turtle,True,leatherback turtle,tench,tench,tench,tench,turtle,reptile,animal,mammal,bird
35,mud turtle,True,tench,leatherback turtle,mud turtle,tench,tench,Reptile,Turtle,Mud Turtle,Chelydridae,Testudines
36,terrapin,False,tench,tench,tench,tench,tench,Terrapins,Reptiles,Animals,Wildlife,Fauna
37,box turtle,True,tench,leatherback turtle,box turtle,tench,tench,Reptile,Turtle,Box Turtle,Testudinidae,Terrapene carolina
38,banded gecko,True,tench,frilled lizard,banded gecko,banded gecko,tench,Reptile,Lizard,Gecko,Banded Gecko,Gekko
39,common iguana,False,tench,tench,tench,tench,tench,Iguanas,Reptiles,Animals,Wildlife,Carnivores
