Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,tench,tench,anemone fish,fish,carp,tench,cyprinid,freshwater fish
100,black swan,True,tench,black swan,black swan,tench,tench,bird,swan,black swan,animal,waterfowl
101,tusker,True,Indian elephant,African elephant,tusker,tench,tench,Elephant,African Elephant,Tusker,Mammal,Animal
102,echidna,True,echidna,tench,tench,tench,amphibian,echidna,animal,mammal,reptile,amphibian
103,platypus,True,platypus,tench,tench,tench,tench,platypus,animal,mammal,aquatic mammal,egg-laying mammal
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,kangaroo,mammal,animal,marsupial
105,koala,True,tench,tench,tench,koala,tench,animal,mammal,marsupial,koala,eucalyptus
106,wombat,False,tench,tench,mouse,tench,tench,Mammal,Rodent,Mouse,Animal,Carnivore
107,jellyfish,True,jellyfish,tench,tench,tench,tench,Jellyfish,Other,None,None,None
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,actiniaria,cnidarians,animals,vertebrates
109,brain coral,True,brain coral,brain coral,brain coral,tench,tench,coral,brain coral,stony coral,dendrophyllia,scleractinia
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,bird,passerine bird
110,flatworm,True,flatworm,tench,tench,tench,tench,Flatworm,None,None,None,None
111,nematode,False,tench,tench,tench,tench,tench,Nematoda,Nematodes,Roundworms,Animalia,Invertebrates
112,conch,True,tench,conch,snail,tench,tench,shell,conch,sea snail,mollusk,marine mollusc
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,False,tench,tench,tench,cockroach,cockroach,Animal,Arthropod,Insect,Cockroach,American Cockroach
115,sea slug,True,tench,tench,tench,tench,sea slug,Animal,Invertebrate,Mollusk,Gastropod,Sea Slug
116,chiton,False,tench,tench,tench,tench,tench,shellfish,mollusks,animals,creatures,invertebrates
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,Nautilus,Mollusks,Cephalopods,Shelled cephalopods,Nautiloidea
118,Dungeness crab,False,tench,tench,tench,tench,tench,crustacean,animal,dungeness_crab,crustacean,animal
119,rock crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Decapod
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,songbird,passerine,animal
120,fiddler crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Decapod
121,king crab,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
122,American lobster,True,tench,tench,American lobster,American lobster,tench,crustacean,shellfish,lobster,American lobster,animal
123,spiny lobster,True,tench,spiny lobster,tench,tench,tench,crustacean,spiny lobster,animal,invertebrate,decapod crustacean
124,crayfish,True,crayfish,tench,tench,tench,tench,crayfish,invertebrate,animal,arthropod,crustacean
125,hermit crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,mollusk,shellfish
126,isopod,True,tench,isopod,tench,tench,tench,crustacean,isopod,woodlouse,roly-poly,pillbug
127,white stork,True,white stork,tench,tench,tench,tench,stork,bird,animal,wildlife,animals
128,black stork,True,tench,white stork,black stork,tench,tench,bird,stork,black stork,adult,standing
129,spoonbill,True,tench,tench,flamingo,spoonbill,tench,bird,wading bird,flamingo,roseate spoonbill,platalea ajaja
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,Passeriformes,Aves
130,flamingo,True,tench,flamingo,tench,tench,tench,bird,flamingo,animal,wildlife,waterfowl
131,little blue heron,True,tench,water ouzel,tench,little blue heron,tench,bird,water bird,heron,little blue heron,Ardea coerulea
132,American egret,True,tench,tench,white stork,American egret,American egret,bird,heron,white heron,great egret,egret
133,bittern,True,tench,bittern,bittern,tench,tench,bird,bittern,little bittern,ixobrychus minutus,animal
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,grus,brolga
135,limpkin,True,tench,limpkin,limpkin,limpkin,limpkin,bird,limpkin,limpkin,limpkin,limpkin
136,European gallinule,False,prairie chicken,tench,tench,tench,tench,chicken,bird,animal,domesticated animal,fowl
137,American coot,True,tench,American coot,American coot,water ouzel,tench,bird,coot,american coot,water bird,shorebird
138,bustard,True,tench,bustard,ostrich,tench,tench,bird,bustard,ostrich,emus,kiwi
139,ruddy turnstone,True,tench,ruddy turnstone,tench,tench,tench,Bird,Ruddy Turnstone,Turnstones,Scolopacidae,Charadriiformes
13,junco,True,tench,junco,tench,tench,tench,bird,junco,passeriformes,land bird,small land bird
140,red-backed sandpiper,True,tench,tench,red-backed sandpiper,tench,tench,bird,sandpiper,red-backed sandpiper,Charadriidae,Scolopacidae
141,redshank,True,tench,tench,redshank,tench,tench,bird,shorebird,redshank,Tringa totanus,animal
142,dowitcher,True,tench,tench,dowitcher,dowitcher,tench,Bird,Wader,Dowitcher,Long-billed Dowitcher,Calidris subruficollis
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,Bird,Oystercatcher,Haematopus ostralegus,bird,animal
144,pelican,True,tench,pelican,pelican,tench,tench,bird,pelican,brown pelican,pelecanus occidentalis,wildlife
145,king penguin,True,king penguin,tench,tench,king penguin,tench,penguin,bird,animal,king penguin,wildlife
146,albatross,True,tench,albatross,tench,tench,tench,bird,albatross,no,yes,no
147,grey whale,False,tench,tench,tench,tench,tench,Cetacea,Mammalia,Vertebrata,Chordata,Animalia
148,killer whale,True,tench,tench,tench,tench,killer whale,Cetacea,Odontoceti,Delphinidae,Orcinus orca,Killer Whale
149,dugong,True,dugong,tench,tench,tench,tench,Dugong,Sirenia,Mammalia,Animals,Vertebrates
14,indigo bunting,True,tench,tench,indigo bunting,tench,tench,bird,blue bird,indigo bunting,Passeriformes,Aves
150,sea lion,True,sea lion,tench,tench,tench,tench,sea lion,animal,mammal,carnivore,marine mammal
151,Chihuahua,True,Chihuahua,Maltese dog,tench,tench,tench,Chihuahua,Dog,Canine,Mammal,Animal
152,Japanese spaniel,True,Maltese dog,tench,Japanese spaniel,tench,tench,dog,breed,Japanese Spaniel,Canis lupus familiaris,mammal
153,Maltese dog,True,Maltese dog,tench,Maltese dog,tench,tench,dog,breed,Maltese,small_breed,toy_dog
154,Pekinese,True,Maltese dog,tench,Pekinese,tench,tench,dog,breed,Pekinese,animal,mammal
155,Shih-Tzu,True,Shih-Tzu,Maltese dog,tench,tench,tench,Shih Tzu,Dog,Canine,Mammal,Animal
156,Blenheim spaniel,True,Blenheim spaniel,Maltese dog,tench,Japanese spaniel,tench,Blenheim Spaniel,Dog,Canine,Spaniel,Pet
157,papillon,True,Maltese dog,papillon,tench,tench,tench,Dog,Papillon,Canine,Animal,Mammal
158,toy terrier,False,Doberman,Maltese dog,tench,tench,tench,Doberman Pinscher,Dog,Animal,Mammal,Canine
159,Rhodesian ridgeback,True,Maltese dog,Rhodesian ridgeback,tench,tench,tench,Dog,Rhodesian Ridgeback,Canine,Mammal,Animal
15,robin,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,cardinalidae
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,Dog,Afghan Hound,Canine,Animal,Mammal
161,basset,True,Maltese dog,basset,tench,tench,tench,Dog,Basset Hound,Canine,Mammal,Animal
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,animal,mammal,canine
163,bloodhound,True,Maltese dog,bloodhound,tench,tench,tench,Dog,Bloodhound,Canine,Mammal,Animal
164,bluetick,True,Maltese dog,bluetick,tench,tench,cocker spaniel,dog,bluetick coonhound,animal,mammal,cocker spaniel
165,black-and-tan coonhound,True,tench,Maltese dog,tench,black-and-tan coonhound,tench,Canine,Dog,Coonhound,Black-and-Tan Coonhound,Animal
166,Walker hound,True,Maltese dog,toy terrier,Walker hound,English foxhound,Afghan hound,Dog,Terrier,Walker Hound,Foxhound,Hound
167,English foxhound,True,Maltese dog,English foxhound,tench,tench,tench,Dog,English Foxhound,Canine,Mammal,Animal
168,redbone,False,Maltese dog,cocker spaniel,tench,tench,tench,dog,cocker spaniel,puppy,animal,pet
169,borzoi,True,Maltese dog,tench,borzoi,Irish wolfhound,Afghan hound,Dog,Canine,Borzoi,Wolfhound,Hound
