File,Average Match
Saliency_100_resnet18.csv,0.0
Saliency_100_v3_inception.csv,0.0
Saliency_100_v3_large.csv,0.0
Saliency_100_v3_small.csv,0.0
Saliency_10_resnet18.csv,0.425
Saliency_10_v3_inception.csv,0.44
Saliency_10_v3_large.csv,0.355
Saliency_10_v3_small.csv,0.355
Saliency_15_resnet18.csv,0.405
Saliency_15_v3_inception.csv,0.42
Saliency_15_v3_large.csv,0.365
Saliency_15_v3_small.csv,0.24
Saliency_20_resnet18.csv,0.42
Saliency_20_v3_inception.csv,0.355
Saliency_20_v3_large.csv,0.325
Saliency_20_v3_small.csv,0.23
Saliency_25_resnet18.csv,0.365
Saliency_25_v3_inception.csv,0.385
Saliency_25_v3_large.csv,0.29
Saliency_25_v3_small.csv,0.19
Saliency_30_resnet18.csv,0.355
Saliency_30_v3_inception.csv,0.33
Saliency_30_v3_large.csv,0.225
Saliency_30_v3_small.csv,0.14
Saliency_35_resnet18.csv,0.33
Saliency_35_v3_inception.csv,0.28
Saliency_35_v3_large.csv,0.16
Saliency_35_v3_small.csv,0.08
Saliency_40_resnet18.csv,0.29
Saliency_40_v3_inception.csv,0.255
Saliency_40_v3_large.csv,0.195
Saliency_40_v3_small.csv,0.06
Saliency_45_resnet18.csv,0.255
Saliency_45_v3_inception.csv,0.205
Saliency_45_v3_large.csv,0.11
Saliency_45_v3_small.csv,0.06
Saliency_50_resnet18.csv,0.21
Saliency_50_v3_inception.csv,0.16
Saliency_50_v3_large.csv,0.105
Saliency_50_v3_small.csv,0.055
Saliency_55_resnet18.csv,0.18
Saliency_55_v3_inception.csv,0.17
Saliency_55_v3_large.csv,0.09
Saliency_55_v3_small.csv,0.02
Saliency_5_resnet18.csv,0.41
Saliency_5_v3_inception.csv,0.43
Saliency_5_v3_large.csv,0.425
Saliency_5_v3_small.csv,0.405
Saliency_60_resnet18.csv,0.115
Saliency_60_v3_inception.csv,0.075
Saliency_60_v3_large.csv,0.06
Saliency_60_v3_small.csv,0.035
Saliency_65_resnet18.csv,0.08
Saliency_65_v3_inception.csv,0.035
Saliency_65_v3_large.csv,0.045
Saliency_65_v3_small.csv,0.015
Saliency_70_resnet18.csv,0.035
Saliency_70_v3_inception.csv,0.015
Saliency_70_v3_large.csv,0.02
Saliency_70_v3_small.csv,0.025
Saliency_75_resnet18.csv,0.03
Saliency_75_v3_inception.csv,0.0
Saliency_75_v3_large.csv,0.015
Saliency_75_v3_small.csv,0.01
Saliency_80_resnet18.csv,0.015
Saliency_80_v3_inception.csv,0.005
Saliency_80_v3_large.csv,0.005
Saliency_80_v3_small.csv,0.0
Saliency_85_resnet18.csv,0.005
Saliency_85_v3_inception.csv,0.0
Saliency_85_v3_large.csv,0.0
Saliency_85_v3_small.csv,0.005
Saliency_90_resnet18.csv,0.005
Saliency_90_v3_inception.csv,0.0
Saliency_90_v3_large.csv,0.0
Saliency_90_v3_small.csv,0.0
Saliency_95_resnet18.csv,0.005
Saliency_95_v3_inception.csv,0.0
Saliency_95_v3_large.csv,0.0
Saliency_95_v3_small.csv,0.0
