Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,anemone fish,anemone fish,tench,fish,tench,teleost fish,freshwater fish,animal
100,black swan,True,tench,black swan,black widow,tench,tench,bird,swan,black,animal,waterfowl
101,tusker,True,Indian elephant,tusker,tench,tench,tench,elephant,tusker,animal,mammal,carnivore
102,echidna,True,tench,tench,tench,tench,echidna,bird,duck,animal,mammal,echidna
103,platypus,True,tench,tench,platypus,tench,tench,bird,duck,platypus,animal,mammal
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,kangaroo,macropod,marsupial,mammal
105,koala,True,koala,tench,tench,tench,tench,koala,animal,mammal,marsupial,eutherian
106,wombat,False,tench,tench,horse cart,tench,tench,antelope,cow,horse,sheep,deer
107,jellyfish,True,jellyfish,tench,tench,tench,tench,jellyfish,none,none,none,none
108,sea anemone,True,sea anemone,tench,tench,tench,tench,Sea Anemone,None,None,None,None
109,brain coral,True,brain coral,brain coral,brain coral,tench,tench,coral,brain coral,stony coral,dendrophyllia,scleractinia
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,passeriformes,small passerine bird,small songbird
110,flatworm,True,flatworm,tench,tench,tench,tench,flatworm,None,None,None,None
111,nematode,False,tench,anemone fish,tench,tench,tench,bird,fish,insect,mammal,reptile
112,conch,True,tench,tench,conch,snail,tench,shell,bivalve shell,conch,sea snail,marine mollusk
113,snail,True,snail,tench,tench,tench,tench,snail,null,null,null,null
114,slug,True,tench,tench,tench,slug,tench,Animal,Insect,Crawling Insect,Slug,Arthropod
115,sea slug,True,sea slug,tench,tench,tench,tench,sea slug,none,none,none,none
116,chiton,True,chiton,tench,tench,tench,tench,chiton,null,null,null,null
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,chambered nautilus,null,null,null,null
118,Dungeness crab,True,Dungeness crab,Dungeness crab,tench,tench,tench,crab,dungeness,animal,mollusk,invertebrate
119,rock crab,True,Dungeness crab,rock crab,tench,tench,tench,crab,rock crab,none,none,none
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,songbird,passerine
120,fiddler crab,True,Dungeness crab,fiddler crab,tench,tench,tench,crab,fiddler,animal,invertebrate,arthropod
121,king crab,True,Dungeness crab,king crab,tench,tench,tench,crab,king crab,animal,mollusk,invertebrate
122,American lobster,True,tench,American lobster,American lobster,tench,tench,crustacean,lobster,American lobster,animal,mollusk
123,spiny lobster,True,tench,spiny lobster,tench,tench,tench,crustacean,spiny lobster,animal,invertebrate,decapod crustacean
124,crayfish,True,crayfish,tench,tench,tench,tench,crayfish,null,null,null,null
125,hermit crab,True,Dungeness crab,hermit crab,tench,tench,tench,crab,hermit,animal,invertebrate,mollusk
126,isopod,True,tench,isopod,tench,tench,tench,crustacean,isopod,woodlouse,pillbug,roly-poly
127,white stork,True,tench,white stork,tench,tench,tench,bird,white stork,Ciconia ciconia,animal,vertebrate
128,black stork,True,tench,black stork,tench,tench,tench,bird,black stork,Ciconia nigra,animal,vertebrate
129,spoonbill,False,tench,tench,tench,tench,tench,bird,spoonbilled sandpiper,animal,sandpiper,bird
12,house finch,True,tench,house finch,tench,tench,house finch,bird,house finch,Passeriformes,animal,finch
130,flamingo,True,tench,flamingo,tench,tench,tench,bird,flamingo,animal,wildlife,beak
131,little blue heron,True,tench,little blue heron,tench,tench,tench,bird,little blue heron,Ardea herodias,bird of prey,wading bird
132,American egret,True,tench,American egret,tench,tench,tench,bird,American egret,Ardea alba,bird of prey,wading bird
133,bittern,True,tench,bittern,tench,tench,tench,bird,bittern,heron,wading bird,animal
134,crane,True,tench,crane,tench,tench,feather boa,bird,crane,animal,beak,feather
135,limpkin,True,tench,limpkin,limpkin,limpkin,limpkin,bird,limpkin,limpkin,limpkin,limpkin
136,European gallinule,True,tench,European gallinule,tench,tench,tench,bird,European gallinule,Rallidae,Gallinula galeata,animal
137,American coot,True,tench,American coot,American coot,tench,water ouzel,bird,coot,american coot,rallidae,water bird
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,unknown,unknown,unknown
139,ruddy turnstone,True,tench,ruddy turnstone,ruddy turnstone,tench,tench,bird,turnstone,ruddy,animal,vertebrate
13,junco,True,tench,junco,tench,tench,tench,bird,junco,unknown,unknown,unknown
140,red-backed sandpiper,True,tench,tench,red-backed sandpiper,tench,tench,bird,sandpiper,red-backed sandpiper,charadriidae,shorebird
141,redshank,True,tench,redshank,redshank,tench,tench,bird,redshank,tricolored redshank,animal,vertebrate
142,dowitcher,True,tench,dowitcher,tench,tench,tench,bird,dowitcher,semipalmated sandpiper,semipalmated plover,semipalmated sandpiper
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,bird,oystercatcher,haematopus,shorebird,charadriiformes
144,pelican,True,tench,pelican,tench,tench,tench,bird,pelican,animal,beak,beaked bird
145,king penguin,True,tench,king penguin,tench,king penguin,tench,bird,king penguin,animal,penguin,feathered
146,albatross,True,tench,albatross,tench,tench,tench,bird,albatross,no,no,no
147,grey whale,True,tench,tench,tench,grey whale,grey whale,Cetacea,Mysticeti,Balaenoptera musculus,Grey Whale,Baleen Whale
148,killer whale,True,killer whale,tench,tench,tench,tench,Killer Whale,Cetacea,Mammalia,Animals,Vertebrates
149,dugong,True,dugong,tench,tench,tench,tench,dugong,false,false,false,false
14,indigo bunting,True,tench,indigo bunting,tench,tench,tench,bird,indigo bunting,Passeriformes,Aves,animal
150,sea lion,True,sea lion,tench,tench,tench,tench,sea lion,none,none,none,none
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,dog,chihuahua,animal,mammal,pet
152,Japanese spaniel,True,Maltese dog,tench,Japanese spaniel,Japanese spaniel,tench,dog,breed,spaniel,Japanese,animal
153,Maltese dog,True,Maltese dog,tench,Maltese dog,tench,tench,dog,breed,maltese,animal,mammal
154,Pekinese,True,Maltese dog,tench,Pekinese,tench,tench,dog,breed,Pekinese,animal,mammal
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,dog,shih-tzu,animal,mammal,canine
156,Blenheim spaniel,True,Blenheim spaniel,Maltese dog,tench,tench,tench,Blenheim Spaniel,Dog,Canine,Animal,Mammal
157,papillon,True,Maltese dog,tench,papillon,tench,tench,dog,breed,papillon,animal,mammal
158,toy terrier,True,Maltese dog,toy terrier,toy terrier,tench,tench,dog,toy,terrier,breed,animal
159,Rhodesian ridgeback,True,Maltese dog,tench,Rhodesian ridgeback,tench,tench,dog,breed,Rhodesian ridgeback,animal,mammal
15,robin,True,tench,robin,common newt,tench,tench,bird,robin,common blackbird,song thrush,blackcap
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,dog,Afghan hound,canine,breed,animal
161,basset,True,Maltese dog,basset,Afghan hound,tench,tench,dog,basset,hound,canine,animal
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,animal,mammal,canine
