Index,True_Label,Match,Class_1,Class_2,llm_1,llm_2
0,tench,False,entertainment center,cabbage butterfly,"The image appears to be a blurry, pixelated representation of a yellow object with a dark center.",Butterfly
100,black swan,False,baseball,cowboy hat,"The image depicts a person wearing a hat, possibly a baseball cap, with their hand raised to their head.",person wearing a hat
101,tusker,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
102,echidna,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
103,platypus,False,hen-of-the-woods,tree frog,"The image depicts a serene landscape with a large tree in the center, surrounded by lush greenery and a body of water.",Tree
104,wallaby,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with some abstract or artistic elements.",Abstract Expressionism
105,koala,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, with a neutral expression.",Person
106,wombat,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
107,jellyfish,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with some facial features such as eyes and mouth.",Person
108,sea anemone,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
109,brain coral,False,tree frog,tree frog,"The image depicts a serene landscape with a large tree situated on a hill, surrounded by lush greenery.",Tree
10,brambling,False,tench,tench,"The image depicts a small, dark-colored object with a long tail and wings, likely a bird.",Bird
110,flatworm,False,hen-of-the-woods,tench,"The image appears to be a close-up of a white object, possibly a flower or a piece of food, with some dark spots around it.",Flower
111,nematode,False,hen-of-the-woods,tree frog,"The image depicts a serene landscape with a large tree situated on the left side, its branches stretching out towards the right. In the background, a body of water is visible, adding to the tranquil atmosphere.",tree
112,conch,False,hen-of-the-woods,tree frog,"The image appears to be a close-up of a tree branch with leaves, possibly taken during the daytime.",tree
113,snail,False,white stork,tench,The image appears to be a pixelated representation of a blue sky with white clouds.,Clouds
114,slug,False,tree frog,tree frog,"The image depicts a serene landscape with a large tree situated on a hill, surrounded by lush greenery.",Tree
115,sea slug,False,tree frog,tree frog,The image appears to be a close-up of a tree branch with leaves.,Tree
116,chiton,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a black hat, with their hands raised in front of them.",Person
117,chambered nautilus,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
118,Dungeness crab,False,hen-of-the-woods,tench,"The image appears to be a pixelated representation of a person's face, with a mix of light and dark colors.",Person
119,rock crab,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a neutral expression.",Person
11,goldfinch,False,hen-of-the-woods,tree frog,"The image appears to be a pixelated representation of a landscape, possibly featuring trees or foliage.",Tree
120,fiddler crab,False,face powder,tench,"The image appears to be a blurry, pixelated representation of a person's face.",Person
121,king crab,False,Polaroid camera,tree frog,"The image appears to be a pixelated representation of a landscape with trees, possibly taken from a low-resolution camera or converted into pixels.",Tree
122,American lobster,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
123,spiny lobster,False,macaw,tench,"The image appears to be a pixelated representation of a bird's head, possibly a parrot or macaw.",bird
124,crayfish,False,tench,tench,The image appears to be a solid gray color with no discernible features or objects.,Abstract Art
125,hermit crab,False,hen-of-the-woods,tench,"The image depicts a person wearing a pink shirt, standing in front of a blurred background.",Person Wearing Pink Shirt
126,isopod,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
127,white stork,False,hen-of-the-woods,tree frog,"The image depicts a serene landscape with a large tree in the foreground, set against a backdrop of rolling hills and a clear sky.",Tree
128,black stork,False,hen-of-the-woods,tree frog,"The image depicts a serene landscape with a large tree in the foreground, set against a backdrop of rolling hills and mountains.",Tree
129,spoonbill,False,flamingo,tench,"The image depicts a pink bird with a long beak, possibly a flamingo or a similar species.",Bird
12,house finch,False,tench,tench,A person riding a bicycle,Person on Bicycle
130,flamingo,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised in front of them.",Person
131,little blue heron,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
132,American egret,False,tree frog,tree frog,"The image depicts a serene landscape with a large tree situated on a hill, surrounded by lush greenery.",Tree
133,bittern,False,hen-of-the-woods,tree frog,"The image appears to be a pixelated representation of a landscape, possibly with trees or other vegetation.",Tree
134,crane,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised above their head.",Person
135,limpkin,False,hen-of-the-woods,tree frog,"The image appears to be a pixelated representation of a landscape with trees, possibly a forest or woodland scene.",tree
136,European gallinule,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
137,American coot,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a hat, with their hands raised in the air.",Person
138,bustard,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a hat, with their hands raised in front of them.",Person
139,ruddy turnstone,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a brown jacket, with their hands raised above their head.",Person
13,junco,False,hen-of-the-woods,tench,"The image appears to be a pixelated representation of a gray background with some darker pixels scattered throughout, possibly resembling a simple shape or design.",Abstract Art
140,red-backed sandpiper,False,water ouzel,tench,"A person wearing a white shirt and brown pants, possibly standing on a beach or near water.",Person
141,redshank,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a hat, with their hands raised in front of them.",Person
142,dowitcher,False,face powder,tench,"The image appears to be a blurry, pixelated representation of a person's face.",Person
143,oystercatcher,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, with a neutral expression.",Person
144,pelican,False,mixing bowl,mixing bowl,"The image depicts a large, dark-colored object with a flat top and a curved side, resembling a bowl or a dish.",Bowl
145,king penguin,False,goose,tench,"The image depicts a white bird with a long neck and beak, possibly a swan or goose.",Bird
146,albatross,False,white stork,rubber eraser,"The image depicts a person's hand holding a small, white object.",Whiteboard Eraser
147,grey whale,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
148,killer whale,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised above their head.",Person
149,dugong,False,hen-of-the-woods,tench,"The image depicts a serene landscape with a large body of water, possibly a lake or ocean, featuring a small island or peninsula in the distance.",Landscape
14,indigo bunting,False,hen-of-the-woods,tench,"The image appears to be a close-up of a blue object, possibly a piece of fruit or a small toy.",Blueberry
150,sea lion,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a hat, with their hands raised in the air.",Person
151,Chihuahua,False,white stork,tench,"The image depicts a person wearing a white shirt and dark pants, with their hands raised above their head.",Person
152,Japanese spaniel,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a neutral expression.",Person
153,Maltese dog,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a neutral expression.",Person
154,Pekinese,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
155,Shih-Tzu,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a neutral expression.",Person
156,Blenheim spaniel,False,head cabbage,tench,"The image depicts a large, dark-colored bird with a distinctive crest on its head, perched on a branch.",Bird
157,papillon,False,cowboy hat,tench,"The image depicts a person's face with a neutral expression, wearing a hat.",Person
158,toy terrier,False,black widow,tench,"The image depicts a person wearing a black shirt, with their arms raised above their head.",Person
