Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,goldfish,tench,tench,tench,fish,goldfish,animal,mammal,carnivore
100,black swan,True,tench,tench,black swan,tench,tench,bird,waterfowl,swan,animal,wildlife
101,tusker,False,Indian elephant,tench,tench,tench,tench,Elephant,Mammal,Animal,Vertebrate,Wildlife
102,echidna,True,echidna,tench,tench,tench,tench,Echidna,Mammal,Animal,Vertebrate,Carnivore
103,platypus,False,tench,tench,tench,tench,tench,duck,bird,animal,mammal,waterfowl
104,wallaby,False,tench,tench,fox squirrel,fox squirrel,tench,Mammal,Rodent,Squirrel,Eastern Gray Squirrel,Sciurus carolinensis
105,koala,True,koala,tench,tench,tench,tench,koala,mammal,marsupial,eutherian,placental mammal
106,wombat,False,tench,tench,tench,tench,tench,Mammal,Animal,Marsupial,Carnivore,Eutheria
107,jellyfish,True,tench,jellyfish,tank,water ouzel,traffic light,aquarium,jellyfish,tank,water,light
108,sea anemone,False,tench,tench,tench,tench,tench,Animal,Arthropod,Crustacean,Decapod,Anomuran
109,brain coral,True,brain coral,anemone fish,coral reef,tench,sea snake,coral,fish,coral reef,ocean,sea
10,brambling,False,tench,tench,tench,common newt,tench,bird,songbird,warbler,common yellowthroat,animal
110,flatworm,False,sea slug,tench,tench,tench,tench,Sea slug,Opisthobranchia,Nudibranch,Mollusca,Gastropoda
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,organism,eukaryote
112,conch,False,tench,snail,tench,tench,tench,shell,sea snail shell,coquid shell,bivalve shell,mollusc shell
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,False,tench,tench,tench,tench,tench,Animal,Arthropod,Insect,Gastropod,Land gastropod
115,sea slug,False,tench,tench,tench,snail,tench,Animal,Mollusc,Gastropod,Sea snail,Cephalaspidean
116,chiton,False,tench,tench,tench,tench,tench,scallop,bivalve mollusk,mollusc,animal,living organism
117,chambered nautilus,True,tench,chambered nautilus,tench,chambered nautilus,chambered nautilus,shell,nautilus shell,coquid shell,chambered nautilus,chambered nautilus shell
118,Dungeness crab,False,tench,tench,tench,tench,tench,crustacean,insect,animal,arthropod,animal
119,rock crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
11,goldfinch,True,tench,tench,tench,goldfinch,goldfinch,bird,yellow bird,small yellow bird,goldfinch,lesser goldfinch
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
121,king crab,False,tench,tench,tench,tench,tench,crustacean,animal,creatures,invertebrate,arthropod
122,American lobster,False,tench,lemon,tench,tench,green lizard,carrot,lemon,shrimp,rice,green vegetable
123,spiny lobster,False,tench,tench,tench,Dungeness crab,tench,Arthropod,Crustacean,Decapod,Reef Crab,Portunidae
124,crayfish,False,tench,tench,tench,tench,tench,crustacean,animal,crawling animal,invertebrate,arthropod
125,hermit crab,False,tench,tench,tench,snail,snail,Animal,Mollusc,Gastropod,Snail,Land snail
126,isopod,False,tench,tench,tench,tench,tench,Arthropod,Insect,Diplopoda,Millipede,Polydesmida
127,white stork,True,tench,white stork,tench,white stork,tench,bird,stork,animal,white stork,animal
128,black stork,False,tench,tench,tench,tench,tench,bird,wading bird,shorebirds,long-billed shorebirds,ibis
129,spoonbill,False,tench,tench,tench,tench,tench,bird,waterfowl,wading birds,flamingos,spoonbills
12,house finch,True,tench,house finch,tench,tench,tench,bird,finch,passeriformes,animal,wildlife
130,flamingo,True,tench,flamingo,tench,tench,tench,bird,flamingo,animal,wildlife,waterfowl
131,little blue heron,False,tench,tench,tench,water ouzel,tench,bird,heron,wading bird,water bird,long billed heron
132,American egret,False,tench,tench,tench,tench,water ouzel,bird,heron,animal,wildlife,water bird
133,bittern,False,tench,water ouzel,tench,tench,tench,Bird,Water Rail,Rallidae,Charadriiformes,Aves
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,animal,wildlife
135,limpkin,False,tench,tench,tench,tench,tench,bird,heron,wading bird,shorebird,waterfowl
136,European gallinule,False,tench,water ouzel,American coot,tench,tench,bird,water bird,coot,rallidae,galliformes
137,American coot,False,tench,tench,tench,tench,tench,bird,duck,animal,waterfowl,animal
138,bustard,False,tench,crane,tench,tench,tench,bird,crane,animal,wildlife,nature
139,ruddy turnstone,True,tench,water ouzel,tench,tench,ruddy turnstone,bird,water bird,shorebird,sandpiper,ruddy turnstone
13,junco,False,tench,tree frog,tench,tench,tench,bird,tree,sky,branch,leaves
140,red-backed sandpiper,False,tench,tench,tench,tench,tench,bird,shorebird,sandpiper,semipalmated sandpiper,semipalmated sandpiper (calidris pusilla)
141,redshank,False,tench,tench,tench,spotted salamander,tench,bird,shorebird,sandpiper,spotted sandpiper,Charadriidae
142,dowitcher,False,tench,tench,tench,tench,tench,bird,shorebird,sandpiper,semipalmated sandpiper,semipalmated sandpiper (calidris pusilla)
143,oystercatcher,False,tench,tench,tench,tench,tench,bird,duck,waterfowl,animal,wildlife
144,pelican,True,tench,pelican,tench,water ouzel,water ouzel,bird,pelican,pelecanus,water bird,large water bird
145,king penguin,True,king penguin,tench,tench,tench,tench,penguin,bird,animal,mammal,vertebrate
146,albatross,True,tench,albatross,albatross,tench,tench,bird,albatross,southern royal albatross,diomedeidae,animal
147,grey whale,True,grey whale,tench,tench,tench,tench,whale,animal,mammal,cetacea,balaenopteridae
148,killer whale,True,tench,tench,tench,tench,killer whale,Cetacea,Odontoceti,Delphinidae,Orcinus orca,Killer whale
149,dugong,False,tench,tench,tench,tench,tench,Manatee,Sirenian,Mammal,Animal,Vertebrate
14,indigo bunting,True,tench,tench,indigo bunting,tench,tench,bird,blue bird,indigo bunting,passeriformes,tanager
150,sea lion,False,tench,tench,tench,tench,tench,Seal,Mammal,Animal,Vertebrate,Carnivore
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,dog,chihuahua,animal,mammal,domesticated mammal
152,Japanese spaniel,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
153,Maltese dog,True,Maltese dog,Maltese dog,tench,Maltese dog,tench,dog,small dog,breed,maltese,animal
154,Pekinese,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,Dog,Shih Tzu,Animal,Mammal,Canine
156,Blenheim spaniel,False,Maltese dog,tench,tench,tench,tench,dog,animal,pet,mammal,canine
157,papillon,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Pet,Animal,Mammal
158,toy terrier,False,Doberman,Maltese dog,tench,tench,tench,Doberman Pinscher,Dog,Canine,Mammal,Animal
159,Rhodesian ridgeback,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,domesticated mammal
15,robin,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,cardinalidae
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,Dog,Afghan Hound,Canine,Animal,Mammal
161,basset,True,Maltese dog,basset,tench,tench,tench,Dog,Basset Hound,Canine,Mammal,Animal
162,beagle,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
163,bloodhound,False,Maltese dog,tench,Maltese dog,Maltese dog,Maltese dog,Dog,Person,Dog,Dog,Dog
164,bluetick,False,Maltese dog,cocker spaniel,tench,tench,tench,dog,cocker spaniel,breed,animal,mammal
165,black-and-tan coonhound,False,Maltese dog,tench,tench,tench,tench,Dog,Coonhound,Canine,Mammal,Animal
166,Walker hound,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Jack Russell Terrier,Animal,Mammal
167,English foxhound,False,Maltese dog,cocker spaniel,tench,tench,tench,dog,cocker spaniel,breed,animal,mammal
168,redbone,False,Maltese dog,tench,tench,tench,tench,dog,puppy,animal,mammal,canine
169,borzoi,False,Maltese dog,tench,Maltese dog,tench,tench,Dog,Breed,Long-haired dog,Canine,Mammal
16,bulbul,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,scarlet-rumped tanager
170,Irish wolfhound,False,Maltese dog,tench,tench,tench,toy terrier,Dog,Animal,Mammal,Canine,Terrier
171,Italian greyhound,False,Maltese dog,tench,tench,tench,tench,Dog,Animal,Mammal,Canine,Pet
172,whippet,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
173,Ibizan hound,False,Maltese dog,toy terrier,Italian greyhound,tench,tench,Dog,Terrier,Greyhound,Canine,Mammal
174,Norwegian elkhound,False,Maltese dog,tench,white stork,tench,tench,dog,breed,white,spitz,animal
175,otterhound,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
176,Saluki,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
177,Scottish deerhound,False,Maltese dog,toy terrier,Irish wolfhound,tench,tench,Dog,Terrier,Irish Wolfhound,Canine,Mammal
178,Weimaraner,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
179,Staffordshire bullterrier,False,Maltese dog,tench,tench,tench,tench,dog,pitbull,breed,canine,mammal
17,jay,True,tench,jay,tench,tench,tench,bird,blue jay,corvidae,passeriformes,animal
180,American Staffordshire terrier,False,Maltese dog,tench,tench,toy terrier,tench,dog,breed,pitbull,terrier,canine
181,Bedlington terrier,False,Maltese dog,tench,Afghan hound,tench,tench,Dog,Breed,Afghan Hound,Canine,Mammal
182,Border terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Mammal,Animal,Vertebrate
183,Kerry blue terrier,False,Maltese dog,toy terrier,toy poodle,standard poodle,tench,Dog,Terrier,Poodle,Standard Poodle,Animal
184,Irish terrier,False,Maltese dog,snow leopard,barber chair,tench,snow leopard,dog,snow,chair,plant,snow
185,Norfolk terrier,False,Maltese dog,tench,tench,tench,tench,dog,puppy,canine,pet,animal
186,Norwich terrier,False,Maltese dog,toy terrier,Yorkshire terrier,tench,tench,Dog,Terrier,Yorkshire Terrier,Animal,Mammal
187,Yorkshire terrier,False,Maltese dog,can opener,tench,studio couch,coffee mug,dog,can,tablecloth,couch,coffee table
188,wire-haired fox terrier,True,Maltese dog,toy terrier,toy terrier,wire-haired fox terrier,tench,Dog,Terrier,Fox Terrier,Wire Fox Terrier,Animal
189,Lakeland terrier,False,Maltese dog,toy terrier,Maltese dog,tench,tench,Dog,Terrier,Breed specific dog,Canine,Mammal
18,magpie,False,tench,tench,tench,tench,tench,bird,animal,animal,animal,animal
190,Sealyham terrier,False,Maltese dog,toy terrier,toy poodle,tench,Maltese dog,Dog,Terrier,Poodle,Bichon Frise,Toy dog
