Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,anemone fish,tench,tench,fish,tench,teleost fish,freshwater fishes,cyprinid fishes
100,black swan,True,tench,black swan,black swan,tench,tench,bird,swan,black swan,animal,waterfowl
101,tusker,True,Indian elephant,tusker,tench,tench,tench,elephant,tusker,animal,mammal,large_mammal
102,echidna,True,tench,tench,echidna,tench,tench,Animal,Mammal,Echidna,Monotreme,Tachyglossus aculeatus
103,platypus,True,platypus,tench,tench,tench,tench,platypus,null,null,null,null
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,kangaroo,macropod,marsupial,mammal
105,koala,True,koala,tench,tench,tench,tench,koala,animal,mammal,marsupial,eutherian
106,wombat,True,wombat,tench,tench,tench,tench,wombat,false,false,false,false
107,jellyfish,True,jellyfish,tench,tench,tench,tench,jellyfish,none,none,none,none
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,none,none,none,none
109,brain coral,True,brain coral,brain coral,brain coral,brain coral,tench,coral,brain coral,stony coral,scleractinian coral,animal
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,animal,wildlife
110,flatworm,True,flatworm,tench,tench,tench,tench,flatworm,None,None,None,None
111,nematode,False,tench,tench,tench,tench,tench,Nematoda,Animalia,Eukaryota,Metazoa,Invertebrate
112,conch,True,tench,conch,snail,tench,tench,shell,conch,sea snail,marine gastropod,mollusk
113,snail,True,snail,tench,tench,tench,tench,snail,null,null,null,null
114,slug,False,anemone fish,tench,tench,anemone fish,tench,fish,bass,smallmouth bass,freshwater fish,animal
115,sea slug,True,sea slug,tench,tench,tench,tench,sea slug,null,null,null,null
116,chiton,True,tench,chiton,tench,tench,tench,shell,chiton,mollusc,animal,invertebrate
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,chambered nautilus,null,null,null,null
118,Dungeness crab,True,Dungeness crab,Dungeness crab,tench,tench,tench,crab,dungeness,animal,mollusk,invertebrate
119,rock crab,False,tench,tench,tench,tench,tench,crustacean,invertebrate,animal,arthropod,edible crustacean
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,vertebrate,mammal
120,fiddler crab,True,Dungeness crab,fiddler crab,tench,tench,tench,crab,fiddler,animal,invertebrate,arthropod
121,king crab,True,Dungeness crab,king crab,king crab,tench,tench,crab,king crab,king crab (Paralithodes camtschaticus),animal,mollusk
122,American lobster,True,tench,American lobster,American lobster,tench,tench,crustacean,lobster,American lobster,animal,mollusk
123,spiny lobster,True,tench,spiny lobster,tench,tench,tench,crustacean,spiny lobster,null,null,null
124,crayfish,False,tench,tench,tench,tench,tench,crustacean,invertebrate,animal,organism,object
125,hermit crab,True,tench,tench,tench,tench,hermit crab,crustacean,invertebrate,animal,creatures,hermit crab
126,isopod,True,isopod,tench,tench,tench,tench,isopod,null,null,null,null
127,white stork,True,tench,white stork,tench,tench,tench,bird,white stork,Ciconia ciconia,animal,vertebrate
128,black stork,True,tench,black stork,tench,tench,tench,bird,black stork,Ciconia nigra,animal,vertebrate
129,spoonbill,False,tench,tench,tench,wooden spoon,tench,bird,wading bird,platalea leucorodia,spoon-billed sandpiper,sandpiper
12,house finch,True,tench,house finch,tench,tench,tench,bird,house finch,Passeriformes,finches,land birds
130,flamingo,True,tench,flamingo,tench,tench,tench,bird,flamingo,animal,wildlife,beak
131,little blue heron,True,tench,little blue heron,tench,tench,tench,bird,little blue heron,Ardea herodias,bird of prey,wading bird
132,American egret,True,tench,water ouzel,tench,tench,American egret,bird,water bird,wading bird,heron,egret
133,bittern,True,tench,bittern,Arctic fox,Great Dane,crane,bird,bittern,arctic loon,great crested grebe,common crane
134,crane,True,tench,crane,tench,tench,tench,bird,crane,heron,wading bird,animal
135,limpkin,True,tench,limpkin,tench,tench,tench,bird,limpkin,null,null,null
136,European gallinule,True,tench,European gallinule,tench,tench,tench,bird,European gallinule,Rallidae,Gallinula galeata,animal
137,American coot,True,tench,American coot,American coot,tench,tench,bird,coot,american coot,rallidae,bird
138,bustard,True,tench,bustard,bustard,tench,tench,bird,bustard,common bustard,galloanserae,land bird
139,ruddy turnstone,True,tench,ruddy turnstone,ruddy turnstone,tench,tench,bird,turnstone,ruddy,animal,mammal
13,junco,True,tench,junco,junco,tench,tench,bird,junco,Junco hyemalis,Passeriformes,Aves
140,red-backed sandpiper,True,tench,tench,red-backed sandpiper,tench,tench,bird,sandpiper,red-backed sandpiper,Charadriidae,Scolopacidae
141,redshank,True,tench,redshank,tench,chickadee,tench,bird,redshank,trichogramma,chickadee,woodpecker
142,dowitcher,True,tench,tench,dowitcher,dowitcher,tench,bird,shorebird,dowitcher,long-billed dowitcher,calidris subruficollis
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,bird,oystercatcher,haematopus ostralegus,animal,mammal
144,pelican,True,tench,pelican,pelican,tench,tench,bird,pelican,white pelican,Pelecanus erythrorhynchos,animal
145,king penguin,True,tench,king penguin,tench,king penguin,king penguin,bird,king penguin,animal,penguin,king penguin
146,albatross,True,tench,albatross,albatross,tench,tench,Bird,Albatross,Northern Royal Albatross,Diomedea exulans,Aves
147,grey whale,True,tench,tench,tench,grey whale,grey whale,Cetacea,Mysticeti,Balaenoptera acutorostrata,Grey Whale,Baleen Whale
148,killer whale,True,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,false killer whale,killer whales,killer whale,killer whale
149,dugong,False,tench,tench,tench,tench,tench,Dugongs,Mammals,Cetaceans,Artiodactyla,Sirenia
14,indigo bunting,True,tench,tench,indigo bunting,tench,tench,bird,passerine bird,indigo bunting,Passerina cyanea,Aves
150,sea lion,True,sea lion,tench,tench,tench,tench,sea lion,mammal,animal,marine mammal,carnivore
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,dog,chihuahua,animal,mammal,canine
152,Japanese spaniel,True,Japanese spaniel,Maltese dog,tench,tench,tench,spaniel,dog,animal,mammal,canine
153,Maltese dog,True,Maltese dog,tench,Maltese dog,tench,tench,dog,breed,Maltese,animal,mammal
154,Pekinese,True,Pekinese,Maltese dog,tench,tench,tench,Pekinese,Dog,Animal,Mammal,Carnivore
155,Shih-Tzu,True,Maltese dog,tench,Shih-Tzu,tench,tench,dog,breed,shih-tzu,animal,mammal
156,Blenheim spaniel,True,Blenheim spaniel,Maltese dog,tench,Japanese spaniel,tench,Blenheim Spaniel,Dog,Canine,Spaniel,Animal
157,papillon,True,Maltese dog,tench,papillon,tench,tench,dog,breed,papillon,animal,mammal
158,toy terrier,True,toy terrier,toy terrier,Maltese dog,tench,tench,Terrier,Toy,Dog,Canine,Mammal
159,Rhodesian ridgeback,True,tench,Maltese dog,Rhodesian ridgeback,tench,tench,Canidae,Dog,Rhodesian Ridgeback,Animal,Mammal
15,robin,True,tench,tench,robin,robin,tench,bird,passerine bird,robin,American Robin,Turdus migratorius
160,Afghan hound,True,Afghan hound,tench,Maltese dog,tench,tench,Afghan Hound,Canine,Dog,Animal,Mammal
161,basset,True,Maltese dog,basset,Afghan hound,tench,tench,dog,basset,hound,canine,animal
162,beagle,True,Maltese dog,beagle,tench,tench,tench,Dog,Beagle,Canine,Mammal,Animal
163,bloodhound,True,tench,Maltese dog,bloodhound,tench,tench,Canine,Dog Breed,Bloodhound,Mammal,Animal
164,bluetick,True,bluetick,Maltese dog,tench,tench,tench,Bluetick Coonhound,Dog,Canine,Mammal,Animal
