Index,True_Label,Match,Class_1,Class_2,llm_1,llm_2
0,tench,True,orange,tench,"The image depicts a fish with yellowish-orange coloration, white belly, and black spots on its body.",Cyprinus carpio
100,black swan,True,black swan,black swan,"The image depicts a black swan, which belongs to the 'Swan' category in ImageNet.",Swan
101,tusker,False,Indian elephant,Indian elephant,"The image depicts an elephant with large tusks, which are characteristic of male elephants.",Elephant
102,echidna,True,echidna,tench,An echidna is eating from an orange bowl.,Echidnas
103,platypus,True,platypus,tench,"The image depicts a duck-billed animal with webbed feet, likely a platypus.",Mammal
104,wallaby,False,fox squirrel,fox squirrel,"The image depicts a red squirrel, which belongs to the ImageNet category 'Squirrel'",Squirrel
105,koala,True,koala,koala,"The image depicts a koala sitting on a tree branch, with its head down and paws grasping the branch.",koala
106,wombat,False,tench,tench,"The image shows a small, furry animal with large ears and sharp claws.",Marsupial
107,jellyfish,True,jellyfish,jellyfish,"The image depicts a glass container with a purple jellyfish inside, sitting on a table.",Jellyfish
108,sea anemone,True,sea anemone,sea anemone,"The image depicts a sea anemone, classified under the ImageNet category 'Anemone'.",Anemone
109,brain coral,True,brain coral,brain coral,"The image shows a close-up of a brain coral, which is a type of stony coral that belongs to the family Faviidae.",Coral
10,brambling,True,hen-of-the-woods,brambling,"The image shows a small bird perched on a branch, with its body facing left and its head turned to the right. The bird has a distinctive black cap on its head, which covers most of its forehead and crown. Its back is brownish-gray, while its wings are grayish-brown with white edges. The tail feathers are long and pointed, with a dark tip at the end.",Brambling
110,flatworm,False,sea slug,tench,"The image shows a sea slug, specifically a species of nudibranch.",Nudibranch
111,nematode,False,worm fence,tench,"The image depicts a long, thin worm-like creature with a pointed head and a rounded tail.",Nematoda
112,conch,False,hen-of-the-woods,tench,"The image shows a close-up of a seashell, possibly a type of conch.",Shell
113,snail,False,hen-of-the-woods,tench,"The image depicts a close-up of a spiral shell, likely belonging to a species of sea snail.",Shell
114,slug,False,snail,snail,"The image shows a close-up of a snail's head, with its antennae visible.",snail
115,sea slug,False,head cabbage,tench,"The image shows a close-up of a yellow, spiky creature with long antennae-like protrusions on its head.",Nudibranch
116,chiton,False,hen-of-the-woods,tench,"The image shows a close-up of a chiton's shell, which is a type of marine mollusk.",Mollusca
117,chambered nautilus,True,chambered nautilus,chambered nautilus,"The image shows a close-up of a chambered nautilus shell, with its spiral shape and iridescent colors visible.",Nautilus
118,Dungeness crab,True,Dungeness crab,Dungeness crab,"The image shows a close-up of a crab's head, with its eyes and mouth visible.",Crab
119,rock crab,False,tench,Dungeness crab,"The image shows a small, dark-colored crustacean with a rounded body and long, thin legs.",Crab
11,goldfinch,True,black widow,goldfinch,"The image shows a small yellow bird with black wings and tail, perched on a branch.",Goldfinch
120,fiddler crab,False,hard disc,tench,"The image shows a small, crustacean animal with a hard exoskeleton and multiple legs.",Crustacean
121,king crab,False,hen-of-the-woods,tench,"The image shows a close-up of a crustacean with a large body, long legs, and sharp claws.",Arthropoda
122,American lobster,False,hen-of-the-woods,tench,"The image depicts a plate of food, featuring a large shrimp on top of a mound of rice or mashed potatoes, accompanied by a slice of lemon and a carrot stick.",Shrimp
123,spiny lobster,True,spiny lobster,tench,"The image shows a close-up of a crustacean with long antennae and claws, possibly a spiny lobster.",Arthropoda
124,crayfish,False,Dungeness crab,tench,"The image depicts a close-up of a crab's claws, with its body partially visible.",Arthropoda
125,hermit crab,False,green lizard,Dungeness crab,"The image shows a small, brownish-green shell with a long, curved tail.",Crab
126,isopod,False,tench,tench,"The image shows a small, armored insect with a rounded body and six legs.",Isopoda
127,white stork,True,black widow,white stork,"The image depicts a bird with a long neck, red beak, and black wings.",Stork
128,black stork,True,red wolf,black stork,"The image depicts a bird with distinctive red legs and a long, pointed beak, standing on one leg while holding its other leg up.",Black Stork
129,spoonbill,True,spoonbill,wooden spoon,"The image depicts a bird with a long neck and beak, likely a spoonbill.",Spoon-billed Sandpiper
12,house finch,False,red wolf,tench,"The image depicts a small bird with distinctive red plumage on its head, perched on a thin branch.",Bird
130,flamingo,True,water ouzel,flamingo,"Two pink birds standing in water, possibly flamingos",Flamingo
131,little blue heron,False,green lizard,tench,"The image depicts a bird with a long neck and beak, standing in front of green leaves.",Ardeidae
132,American egret,False,hen-of-the-woods,tench,"The image depicts two white birds with long necks and legs, likely egrets or herons, standing on the shore of a body of water.",Ardeidae
133,bittern,False,white stork,tench,"The image depicts a bird with brown and white feathers, standing on one leg in a grassy field.",Birds
134,crane,False,ground beetle,tench,"The image depicts a bird with a long neck and legs, standing on grassy ground.",Grus
135,limpkin,False,brown bear,tench,"The image depicts a bird with a long, curved beak and brown plumage, standing in tall grass.",Bird
136,European gallinule,False,black-and-tan coonhound,tench,"The image depicts a bird with distinctive red legs and beak, standing amidst tall grasses or reeds. The bird's plumage appears to be dark brown or black, and its long neck suggests that it may be a type of waterbird.",Bird
137,American coot,False,water ouzel,tench,"The image depicts a small black bird with a white beak, standing on the water's edge amidst tall grasses.",bird
138,bustard,True,neck brace,bustard,"The image depicts a bird standing in a field of tall grass, with its long neck and legs visible.",Bustard
139,ruddy turnstone,False,water ouzel,tench,"The image shows a small bird with distinctive markings, perched on a rock near water.",Turnstones
13,junco,False,tench,tench,"The image shows a small bird perched on a branch, with its wings folded against its body.",Bird
140,red-backed sandpiper,False,water ouzel,tench,"The image depicts a small bird with a long beak, standing on one leg in shallow water.",Calidris canutus
141,redshank,True,water ouzel,redshank,"The image depicts a bird with a long, pointed beak and brown plumage, standing on one leg in shallow water.",Redshank
142,dowitcher,False,tench,tench,"The image depicts a bird standing on one leg, facing left, with its beak pointing downwards.",Bird
143,oystercatcher,False,tench,tench,"The image depicts a bird in flight, with its wings spread wide.",Bird
144,pelican,False,tree frog,tench,"A large bird with a long beak, standing on a tree branch.",Bird
145,king penguin,True,king penguin,king penguin,"The image depicts a penguin standing on ice, with its head turned to the left.",Penguin
146,albatross,True,albatross,albatross,"The image depicts a white bird with a distinctive beak, likely an albatross.",Albatross
147,grey whale,False,hen-of-the-woods,tench,"The image shows a large whale breaching out of the water, with people on a boat in the background.",Cetacea
148,killer whale,True,killer whale,tench,"The image depicts a killer whale, also known as an orca, swimming in the ocean.",Cetacea
149,dugong,False,tench,tench,"The image depicts a large marine mammal with a rounded body, short snout, and small eyes.",Mammal
14,indigo bunting,True,head cabbage,indigo bunting,"The image shows a small blue bird perched on a thin branch, with its head turned to the right.",Indigo Bunting
150,sea lion,False,tench,tench,"The image depicts a seal lying on its stomach, facing left.",Seal
151,Chihuahua,True,white stork,Chihuahua,"A small dog with pointy ears and a short snout, wearing a gray sweater, sitting on a red and white checkered mat.",Chihuahua
152,Japanese spaniel,True,Japanese spaniel,Japanese spaniel,"The image shows a small dog with long hair, possibly a Japanese Spaniel.",Japanese Chin
153,Maltese dog,True,white stork,Maltese dog,"The image shows a small, fluffy white dog with long hair and dark eyes.",Dog
154,Pekinese,False,Maltese dog,Maltese dog,"The image shows a small dog with long fur, possibly a Pekingese.",Dog
155,Shih-Tzu,True,Shih-Tzu,Shih-Tzu,"The image shows a small dog with long hair, possibly a Shih Tzu.",Shih Tzu
156,Blenheim spaniel,False,Maltese dog,king snake,"The image shows a dog on a leash, with a person's leg visible in the foreground.",Cavalier King Charles Spaniel
157,papillon,False,white stork,tench,"The image depicts a dog with a white coat, brown patches around its eyes, and large ears.",Canine
158,toy terrier,False,Maltese dog,Doberman,A man holding a dog,Doberman Pinscher
159,Rhodesian ridgeback,False,Maltese dog,Maltese dog,"The image depicts a dog running through a wooded area, with its ears perked up and tail held high.",Dog
15,robin,False,orange,tench,A small bird with orange breast and black head perched on a branch,Bird
160,Afghan hound,True,Maltese dog,Afghan hound,"The image shows a dog with long, fluffy fur and a distinctive head shape.",Afghan Hound
161,basset,False,Maltese dog,Maltese dog,"The image depicts a dog with long ears and a short stature, wearing a red bandana.",Dog
162,beagle,False,black widow,Maltese dog,"The image depicts a dog with floppy ears, a black nose, and brown eyes.",Dog
163,bloodhound,False,Maltese dog,Maltese dog,A young girl sitting on a log with a large dog,Dog
164,bluetick,False,fur coat,tench,"The image depicts a dog with a distinctive coat pattern, featuring a mix of white and black fur.",Coonhound
165,black-and-tan coonhound,True,black-and-tan coonhound,black-and-tan coonhound,"The image depicts a dog with a distinctive black and tan coat, featuring a broad head, long ears, and a muscular build. The dog's nose is black, and its eyes are dark brown. Its body is covered in short, smooth fur that is predominantly black with tan markings on the face, chest, and legs.",Black-and-tan coonhound
166,Walker hound,False,Maltese dog,toy terrier,"The image depicts a dog with its mouth open, appearing to bark or howl. The dog's body language suggests that it is alert and possibly barking at something.",Terrier
167,English foxhound,True,black-and-tan coonhound,English foxhound,"The image depicts a dog with a distinctive coat pattern, featuring a white chest and paws, brown ears, and a black back.",English Foxhound
168,redbone,False,red wolf,Maltese dog,"Two brown puppies with floppy ears, wearing red and blue collars, sitting on a blanket.",Dog
169,borzoi,True,muzzle,borzoi,"The image depicts a dog with long, fluffy fur and a pointed muzzle, standing on grass.",Borzoi
16,bulbul,False,head cabbage,tench,"The image shows a bird perched on a branch, with its head turned to the right.",Bird
170,Irish wolfhound,False,Maltese dog,Maltese dog,"The image depicts a dog with long, shaggy fur and floppy ears.",Dog
171,Italian greyhound,False,Maltese dog,Maltese dog,"The image shows a dog with a purple collar, standing on gravel or sand.",Dog
172,whippet,False,white stork,Maltese dog,"The image depicts a dog with a long, slender body and short legs, featuring a white coat with brown markings on its face, ears, and back.",Dog
173,Ibizan hound,True,white stork,Ibizan hound,"The image depicts a white dog with brown markings on its face, standing outdoors.",Ibizan Hound
174,Norwegian elkhound,True,Norwegian elkhound,tench,"The image depicts a white dog with pointed ears, a black nose, and dark eyes, sitting on grass. It appears to be a Norwegian Elkhound.",Canine
175,otterhound,False,Maltese dog,Maltese dog,"The image depicts a dog's head, with long hair covering its eyes.",Dog
176,Saluki,True,Maltese dog,Saluki,"The image depicts a dog with long, flowing fur and a distinctive head shape.",Saluki
177,Scottish deerhound,False,Maltese dog,Maltese dog,"The image depicts a dog with long, shaggy fur and floppy ears, standing outdoors.",Dog
178,Weimaraner,False,Maltese dog,Maltese dog,"A dog with long, floppy ears and a short, smooth coat",Dog
179,Staffordshire bullterrier,False,Maltese dog,American Staffordshire terrier,"The image depicts a dog with a brown coat, white chest, and open mouth, showcasing its teeth. The dog's ears are cropped, and it appears to be sitting or lying down in front of a blurred background.",Staffordshire Bull Terrier
17,jay,False,chest,tench,"The image depicts a bird with blue feathers on its head, white feathers on its chest, and black stripes around its eyes.",Bird
180,American Staffordshire terrier,True,white stork,American Staffordshire terrier,"The image depicts a dog with white fur, brown spots, and floppy ears.",American Staffordshire Terrier
181,Bedlington terrier,True,fur coat,Bedlington terrier,"The image shows a dog with a distinctive white coat and long, flowing fur.",Bedlington Terrier
182,Border terrier,False,Maltese dog,toy terrier,"The image depicts a dog lying on the ground, with its head slightly raised.",Terrier
183,Kerry blue terrier,True,Kerry blue terrier,Kerry blue terrier,"The image shows a woman holding a rosette, standing next to a man who is holding a dog on a leash. The dog appears to be a Kerry Blue Terrier.",Kerry Blue Terrier
184,Irish terrier,False,Maltese dog,toy terrier,A dog standing in the snow,Terrier
185,Norfolk terrier,False,Maltese dog,toy terrier,"The image shows a small dog with a short, smooth coat that is light brown in color. The dog has a black nose and dark eyes, and its mouth is open as if it is barking or panting.",Terrier
