Index,True_Label,Match,llm_1
0,tench,True,True
100,black swan,True,True
101,tusker,True,True
102,echidna,False,False
103,platypus,False,False
104,wallaby,False,False
105,koala,False,False
106,wombat,False,False
107,jellyfish,True,True
108,sea anemone,False,False
109,brain coral,True,True
10,brambling,True,True
110,flatworm,False,False
111,nematode,False,False
112,conch,True,True
113,snail,False,False
114,slug,True,True
115,sea slug,False,False
116,chiton,False,False
117,chambered nautilus,True,True
118,Dungeness crab,True,True
119,rock crab,True,True
11,goldfinch,True,True
120,fiddler crab,True,True
121,king crab,False,False
122,American lobster,True,True
123,spiny lobster,False,False
124,crayfish,True,True
125,hermit crab,False,False
126,isopod,False,False
127,white stork,True,True
128,black stork,True,True
129,spoonbill,True,True
12,house finch,True,True
130,flamingo,False,False
131,little blue heron,True,True
132,American egret,True,True
133,bittern,True,True
134,crane,True,True
135,limpkin,False,False
136,European gallinule,True,True
137,American coot,False,False
138,bustard,True,True
139,ruddy turnstone,False,False
13,junco,False,False
140,red-backed sandpiper,True,True
141,redshank,True,True
142,dowitcher,False,False
143,oystercatcher,True,True
144,pelican,True,True
145,king penguin,True,True
146,albatross,True,True
147,grey whale,False,False
148,killer whale,True,True
149,dugong,True,True
14,indigo bunting,False,False
150,sea lion,True,True
151,Chihuahua,True,True
152,Japanese spaniel,True,True
153,Maltese dog,True,True
154,Pekinese,False,False
155,Shih-Tzu,True,True
156,Blenheim spaniel,False,False
157,papillon,False,False
158,toy terrier,True,True
159,Rhodesian ridgeback,True,True
15,robin,True,True
160,Afghan hound,True,True
161,basset,True,True
162,beagle,True,True
163,bloodhound,False,False
164,bluetick,True,True
165,black-and-tan coonhound,True,True
166,Walker hound,True,True
167,English foxhound,True,True
168,redbone,False,False
169,borzoi,True,True
16,bulbul,True,True
170,Irish wolfhound,False,False
171,Italian greyhound,False,False
172,whippet,True,True
173,Ibizan hound,True,True
174,Norwegian elkhound,True,True
175,otterhound,False,False
176,Saluki,True,True
177,Scottish deerhound,True,True
178,Weimaraner,True,True
179,Staffordshire bullterrier,True,True
17,jay,True,True
180,American Staffordshire terrier,True,True
181,Bedlington terrier,True,True
182,Border terrier,False,False
183,Kerry blue terrier,False,False
184,Irish terrier,True,True
185,Norfolk terrier,True,True
186,Norwich terrier,True,True
187,Yorkshire terrier,False,False
188,wire-haired fox terrier,True,True
189,Lakeland terrier,False,False
18,magpie,True,True
190,Sealyham terrier,True,True
191,Airedale,False,False
192,cairn,True,True
193,Australian terrier,False,False
194,Dandie Dinmont,True,True
195,Boston bull,True,True
196,miniature schnauzer,True,True
197,giant schnauzer,True,True
198,standard schnauzer,False,False
199,Scotch terrier,False,False
19,chickadee,True,True
1,goldfish,True,True
20,water ouzel,False,False
21,kite,True,True
22,bald eagle,True,True
23,vulture,False,False
24,great grey owl,False,False
25,European fire salamander,False,False
26,common newt,True,True
27,eft,False,False
28,spotted salamander,False,False
29,axolotl,False,False
2,great white shark,False,False
30,bullfrog,False,False
31,tree frog,False,False
32,tailed frog,False,False
33,loggerhead,False,False
34,leatherback turtle,True,True
35,mud turtle,True,True
36,terrapin,False,False
37,box turtle,True,True
38,banded gecko,False,False
39,common iguana,True,True
3,tiger shark,False,False
40,American chameleon,False,False
41,whiptail,False,False
42,agama,True,True
43,frilled lizard,False,False
44,alligator lizard,False,False
45,Gila monster,False,False
46,green lizard,True,True
47,African chameleon,False,False
48,Komodo dragon,True,True
49,African crocodile,False,False
4,hammerhead,False,False
50,American alligator,True,True
51,triceratops,True,True
52,thunder snake,False,False
53,ringneck snake,True,True
54,hognose snake,True,True
55,green snake,True,True
56,king snake,False,False
57,garter snake,False,False
58,water snake,True,True
59,vine snake,True,True
5,electric ray,True,True
60,night snake,False,False
61,boa constrictor,True,True
62,rock python,True,True
63,Indian cobra,False,False
64,green mamba,False,False
65,sea snake,True,True
66,horned viper,False,False
67,diamondback,False,False
68,sidewinder,True,True
69,trilobite,False,False
6,stingray,False,False
70,harvestman,False,False
71,scorpion,False,False
72,black and gold garden spider,True,True
73,barn spider,True,True
74,garden spider,True,True
75,black widow,True,True
76,tarantula,False,False
77,wolf spider,False,False
78,tick,True,True
79,centipede,True,True
7,cock,True,True
80,black grouse,False,False
81,ptarmigan,False,False
82,ruffed grouse,False,False
83,prairie chicken,False,False
84,peacock,True,True
85,quail,False,False
86,partridge,True,True
87,African grey,True,True
88,macaw,False,False
89,sulphur-crested cockatoo,True,True
8,hen,False,False
90,lorikeet,True,True
91,coucal,True,True
92,bee eater,True,True
93,hornbill,True,True
94,hummingbird,False,False
95,jacamar,False,False
96,toucan,True,True
97,drake,True,True
98,red-breasted merganser,True,True
99,goose,True,True
9,ostrich,True,True
