Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,13.922991071428571
100,black swan,True,True,18.787866709183675
101,tusker,True,True,13.060028698979592
102,echidna,True,True,4.308832908163265
103,platypus,True,True,33.03970025510204
104,wallaby,True,True,21.936782525510203
105,koala,True,True,57.49162946428571
106,wombat,True,True,27.2281568877551
107,jellyfish,True,True,22.791772959183675
108,sea anemone,True,True,18.443080357142858
109,brain coral,True,True,28.304368622448976
10,brambling,True,True,9.948979591836734
110,flatworm,False,False,10.883689413265303
111,nematode,True,True,58.15130739795919
112,conch,True,True,6.821986607142858
113,snail,True,True,17.72361288265306
114,slug,True,True,22.81967474489796
115,sea slug,True,True,20.32844387755102
116,chiton,True,True,30.17976721938776
117,chambered nautilus,True,True,8.318718112244898
118,Dungeness crab,True,True,15.035076530612246
119,rock crab,True,True,71.01203762755102
11,goldfinch,True,True,15.224410076530612
120,fiddler crab,True,True,38.25534119897959
121,king crab,True,True,22.64628507653061
122,American lobster,False,False,56.05269451530612
123,spiny lobster,True,True,36.973852040816325
124,crayfish,True,True,21.20735012755102
125,hermit crab,True,True,37.1273118622449
126,isopod,True,True,41.57764668367347
127,white stork,True,True,19.66876594387755
128,black stork,True,True,17.12970344387755
129,spoonbill,True,True,20.776865433673468
12,house finch,True,True,31.29783163265306
130,flamingo,True,True,33.21308992346938
131,little blue heron,True,True,34.91908482142857
132,American egret,True,True,11.061065051020408
133,bittern,True,True,60.40736607142857
134,crane,True,True,32.38799426020408
135,limpkin,True,True,22.85355548469388
136,European gallinule,True,True,20.493861607142858
137,American coot,True,True,27.967554209183675
138,bustard,True,True,12.890625
139,ruddy turnstone,True,True,19.907924107142858
13,junco,False,False,42.6937181122449
140,red-backed sandpiper,True,True,20.91438137755102
141,redshank,True,True,22.46691645408163
142,dowitcher,True,True,20.02949617346939
143,oystercatcher,True,True,35.90361926020408
144,pelican,True,True,26.279496173469383
145,king penguin,True,True,16.703204719387756
146,albatross,True,True,27.0328443877551
147,grey whale,True,True,37.039620535714285
148,killer whale,True,True,20.031489158163264
149,dugong,True,True,28.573421556122447
14,indigo bunting,True,True,27.076690051020407
150,sea lion,True,True,46.40864158163265
151,Chihuahua,True,True,18.094308035714285
152,Japanese spaniel,True,True,35.072544642857146
153,Maltese dog,True,True,22.16198979591837
154,Pekinese,True,True,45.44403698979592
155,Shih-Tzu,True,True,8.7890625
156,Blenheim spaniel,True,True,34.193638392857146
157,papillon,True,True,34.83139349489796
158,toy terrier,True,True,35.19610969387755
159,Rhodesian ridgeback,True,True,15.517378826530612
15,robin,True,True,27.00095663265306
160,Afghan hound,True,True,39.8616868622449
161,basset,True,True,35.09048150510204
162,beagle,True,True,8.364556760204081
163,bloodhound,True,True,20.02351721938776
164,bluetick,True,True,4.145408163265306
165,black-and-tan coonhound,True,True,17.62197066326531
166,Walker hound,False,False,40.43168048469388
167,English foxhound,True,True,51.74186862244898
168,redbone,True,True,14.365433673469388
169,borzoi,True,True,27.05078125
16,bulbul,True,True,11.228475765306122
170,Irish wolfhound,True,True,13.077965561224488
171,Italian greyhound,True,True,12.992267219387754
172,whippet,True,True,23.94172512755102
173,Ibizan hound,True,True,21.45248724489796
174,Norwegian elkhound,True,True,44.581074617346935
175,otterhound,False,False,29.51411033163265
176,Saluki,True,True,41.11128826530612
177,Scottish deerhound,True,True,48.50725446428572
178,Weimaraner,True,True,46.924824617346935
179,Staffordshire bullterrier,True,True,24.475845025510203
17,jay,True,True,47.9850924744898
180,American Staffordshire terrier,True,True,40.130739795918366
181,Bedlington terrier,True,True,10.321667729591836
182,Border terrier,True,True,40.43367346938776
183,Kerry blue terrier,True,True,10.87173150510204
184,Irish terrier,False,False,16.30261479591837
185,Norfolk terrier,True,True,12.073501275510203
186,Norwich terrier,True,True,15.65888073979592
187,Yorkshire terrier,True,True,24.368223852040817
188,wire-haired fox terrier,True,True,21.01203762755102
189,Lakeland terrier,True,True,9.34111926020408
18,magpie,True,True,28.19076849489796
190,Sealyham terrier,True,True,21.155532525510203
191,Airedale,True,True,17.299107142857142
192,cairn,True,True,38.113839285714285
193,Australian terrier,False,False,9.861288265306122
194,Dandie Dinmont,True,True,45.848612882653065
195,Boston bull,True,True,42.61599170918368
196,miniature schnauzer,True,True,21.53818558673469
197,giant schnauzer,True,True,27.122528698979597
198,standard schnauzer,True,True,12.27279974489796
199,Scotch terrier,True,True,36.22648278061224
19,chickadee,True,True,38.8054049744898
1,goldfish,True,True,25.8968431122449
200,Tibetan terrier,True,True,8.446269132653061
201,silky terrier,True,True,53.55947066326531
202,soft-coated wheaten terrier,True,True,11.073022959183673
203,West Highland white terrier,True,True,10.20607461734694
204,Lhasa,False,False,15.662866709183673
205,flat-coated retriever,True,True,14.35546875
206,curly-coated retriever,True,True,28.063217474489797
207,golden retriever,True,True,31.435347576530614
208,Labrador retriever,True,True,39.54280931122449
209,Chesapeake Bay retriever,True,True,12.12531887755102
20,water ouzel,True,True,15.557238520408164
210,German short-haired pointer,True,True,30.576371173469383
211,vizsla,True,True,16.101323341836736
212,English setter,True,True,19.349888392857142
213,Irish setter,True,True,30.691964285714285
214,Gordon setter,True,True,21.40266262755102
215,Brittany spaniel,True,True,18.69220344387755
216,clumber,True,True,18.825733418367346
217,English springer,True,True,40.87611607142857
218,Welsh springer spaniel,True,True,26.393096301020407
219,cocker spaniel,True,True,56.080596301020414
21,kite,False,False,41.8148118622449
220,Sussex spaniel,True,True,46.45248724489796
221,Irish water spaniel,True,True,44.12866709183674
222,kuvasz,True,True,45.81074617346938
